BLABLABLA, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Jennifer_Lopez_-_On_The_Floor_ft._Pitbull.m4a, m4a, audio, None, None, None
https://youtu.be/kO8Nj09525U, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Tormenta_ft._Bad_Bunny_(Official_Visualiser).m4a, m4a, audio, None, None, None
https://youtu.be/S03T47hapAc, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Cracker_Island_ft._Thundercat_(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/qJa-VFwPpYA, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_New_Gold_ft._Tame_Impala_&_Bootie_Brown_(Official_Visualiser).m4a, m4a, audio, None, None, None
https://youtu.be/HyHNuVaZJ-k, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Feel_Good_Inc._(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/_0Pf48RqSsg, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Silent_Running_ft._Adeleye_Omotayo_(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/1V_xRb0x9aw, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Clint_Eastwood_(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/04mfKJWDSzI, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_On_Melancholy_Hill_(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/yYDmaexVHic, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Rhinestone_Eyes_[Storyboard_Film]_(Official_Music_Video).m4a, m4a, audio, None, None, None
https://youtu.be/lK5HVlcs0og, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Oil_ft._Stevie_Nicks_(Official_Audio).m4a, m4a, audio, None, None, None
https://youtu.be/uAOR6ib95kQ, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_DARE_(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/WXR-bCF5dbM, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_19-2000_(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/qP4BYTDeR84, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_The_Tired_Influencer_(Official_Audio).m4a, m4a, audio, None, None, None
https://youtu.be/cLnkQAeMbIM, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Dirty_Harry_(Official_Video).m4a, m4a, audio, None, None, None
https://youtu.be/f8NwLXYIHS4, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_She's_My_Collar_[HQ].m4a, m4a, audio, None, None, None
https://youtu.be/tx83HU7t_0E, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_New_Gold_ft_Tame_Impala_&_Bootie_Brown_(Dom_Dolla_Remix)_[Official_Audio].m4a, m4a, audio, None, None, None
https://youtu.be/5ZPnmEeXnRY, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Baby_Queen_(Official_Audio).m4a, m4a, audio, None, None, None
https://youtu.be/fhFwSB_7FF0, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Tarantula_(Official_Lyric_Video).m4a, m4a, audio, None, None, None
https://youtu.be/ZvRlusdjMSs, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Controllah_ft._MC_Bin_Laden_(Official_Audio).m4a, m4a, audio, None, None, None
https://youtu.be/9W44NWYwa1g, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Andromeda_(Official_Audio).m4a, m4a, audio, None, None, None
https://youtu.be/D8tjuP_nq5I, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Skinny_Ape_(Official_Lyric_Video).m4a, m4a, audio, None, None, None
https://youtu.be/qaLu0CIyFe0, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Possession_Island_ft._Beck_(Official_Lyric_Video).m4a, m4a, audio, None, None, None
https://youtu.be/5qJp6xlKEug, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Saturnz_Barz_(Spirit_House).m4a, m4a, audio, None, None, None
https://youtu.be/IOhFk7-6LuU, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Captain_Chicken_ft._Del_The_Funky_Homosapien_(Official_Audio).m4a, m4a, audio, None, None, None
https://youtu.be/-xmuUbw5vyc, c:\Users\Blondel\Documents\Programmation\Python\Projects\YouTube_Downloader\src\downloads\music\Gorillaz_-_Crocadillaz_ft. De La Soul and_Dawn_Penn_(Official_Audio).m4a, m4a, audio, None, None, None
